field,ra,dec,ebv
407,79.02404,-2.65,0.21542289853096008
409,93.08173,-2.65,0.276307076215744
411,107.17,-2.65,0.24555136263370514
412,114.26,-2.65,0.09337450563907623
413,121.35,-2.65,0.03362372890114784
414,128.44,-2.65,0.038032326847314835
415,135.53,-2.65,0.02541930414736271
416,142.62,-2.65,0.040487322956323624
417,149.71,-2.65,0.04512885585427284
418,156.8,-2.65,0.048401955515146255
419,163.89,-2.65,0.05025753751397133
420,170.98,-2.65,0.07239194959402084
421,178.07,-2.65,0.022535547614097595
422,185.16,-2.65,0.04320303723216057
423,192.25,-2.65,0.027953950688242912
424,199.34,-2.65,0.03298868238925934
425,206.43,-2.65,0.0478036142885685
426,213.52,-2.65,0.0868702158331871
427,220.61,-2.65,0.0730050578713417
428,227.7,-2.65,0.164336696267128
429,234.79,-2.65,0.17512860894203186
430,241.88,-2.65,0.22363153100013733
431,248.97,-2.65,0.2658366560935974
432,256.06,-2.65,0.21808621287345886
438,298.44712,-2.65,0.28883469104766846
439,305.47596,-2.65,0.08414898812770844
440,312.50481,-2.65,0.05645516887307167
441,319.53365,-2.65,0.0733335018157959
442,326.5625,-2.65,0.05750666931271553
443,333.59135,-2.65,0.08597930520772934
444,340.62019,-2.65,0.06333319842815399
445,347.64904,-2.65,0.051510754972696304
446,354.67788,-2.65,0.037805575877428055
447,5.23912,4.55,0.025799714028835297
448,12.25,4.55,0.02755073644220829
449,19.26088,4.55,0.0393524244427681
450,26.27176,4.55,0.04047292470932007
451,33.28264,4.55,0.047030575573444366
452,40.29352,4.55,0.07471524924039841
453,47.3044,4.55,0.17547421157360077
454,54.31528,4.55,0.23010946810245514
455,61.32616,4.55,0.24246647953987122
456,68.33704,4.55,0.23624256253242493
457,75.34792,4.55,0.07762646675109863
458,82.3588,4.55,0.1979099065065384
462,110.14867,4.55,0.16586963832378387
463,116.99044,4.55,0.0347055085003376
464,123.83222,4.55,0.029095476493239403
465,130.674,4.55,0.03835204988718033
466,137.51578,4.55,0.048967063426971436
467,144.35756,4.55,0.04507909715175629
468,151.19933,4.55,0.023348478600382805
469,158.04111,4.55,0.044983141124248505
470,164.88289,4.55,0.05893402919173241
471,171.72467,4.55,0.0566735714673996
472,178.56644,4.55,0.02366318739950657
473,185.30822,4.71,0.019991397857666016
474,192.25,4.55,0.036870405077934265
475,199.09178,4.55,0.040197450667619705
476,205.93356,4.55,0.02777169458568096
477,212.77533,4.55,0.030639663338661194
478,219.61711,4.55,0.04793907701969147
479,226.45889,4.55,0.05973811075091362
480,233.30067,4.55,0.08188114315271378
481,240.14244,4.55,0.07671135663986206
482,246.98422,4.55,0.06550897657871246
483,253.826,4.55,0.10735561698675156
484,260.66778,4.55,0.09500476717948914
485,267.50956,4.55,0.2710508108139038
489,295.13032,4.55,0.27953726053237915
490,302.1412,4.55,0.17822900414466858
491,309.15208,4.55,0.12130432575941086
492,316.16296,4.55,0.15946370363235474
493,323.17384,4.55,0.06472942978143692
494,330.18472,4.55,0.05649212375283241
495,337.1956,4.55,0.10754450410604477
496,344.20648,4.55,0.07186514884233475
497,351.21736,4.55,0.05584387853741646
498,358.22824,4.55,0.06477595120668411
499,1.77362,11.75,0.10638444125652313
500,8.75787,11.75,0.08780249208211899
501,15.74212,11.75,0.046660132706165314
502,22.72637,11.75,0.08284159749746323
503,29.71062,11.75,0.09381593018770218
504,36.69487,11.75,0.12301798164844513
505,43.67912,11.75,0.186150461435318
514,106.74867,11.75,0.08101049810647964
515,114.02378,11.75,0.044877417385578156
516,121.29889,11.75,0.028420910239219666
517,128.574,11.75,0.03633563220500946
518,135.84911,11.75,0.03207547962665558
519,143.12422,11.75,0.03247606381773949
520,150.39933,11.75,0.04621267691254616
521,157.67444,11.75,0.0397573821246624
522,164.94956,11.75,0.02440493181347847
523,172.22467,11.75,0.04263816028833389
524,179.49978,11.75,0.028758954256772995
525,186.77489,11.57,0.035561203956604004
526,193.9,11.75,0.03255348652601242
527,201.02511,11.75,0.041059691458940506
528,208.15022,11.75,0.026239268481731415
529,215.12533,11.75,0.028068916872143745
530,222.10044,11.75,0.035011231899261475
531,229.07556,11.75,0.05423728749155998
532,236.05067,11.75,0.05466647446155548
533,243.02578,11.75,0.09865982830524445
534,250.00089,11.75,0.06877738982439041
535,256.976,11.75,0.10861904174089432
536,263.95111,11.75,0.1819310486316681
537,270.92622,11.75,0.20056340098381042
538,277.90133,11.75,0.2942441403865814
542,305.89962,11.75,0.17546892166137695
543,312.88387,11.75,0.14892540872097015
544,319.86812,11.75,0.09236326068639755
545,326.85237,11.75,0.10112278908491135
546,333.83662,11.75,0.06512586772441864
547,340.82087,11.75,0.05899040400981903
548,347.80512,11.75,0.09254377335309982
549,354.78937,11.75,0.05739348381757736
550,1.37527,18.95,0.0465480275452137
551,8.62509,18.95,0.0946693941950798
552,15.87491,18.95,0.041438911110162735
553,23.12473,18.95,0.07068472355604172
554,30.37455,18.95,0.07205177843570709
555,37.62436,18.95,0.09152305871248245
556,44.87418,18.95,0.15602919459342957
557,52.124,18.95,0.1381952166557312
558,59.37382,18.95,0.2114565521478653
564,102.73929,18.95,0.10215522348880768
565,109.79245,18.95,0.07128217816352844
566,116.84562,18.95,0.060933105647563934
567,123.89878,18.95,0.04408607631921768
568,130.95195,18.95,0.03732001408934593
569,138.00511,18.95,0.04106063023209572
570,145.05827,18.95,0.03188122808933258
571,152.11144,18.95,0.033160969614982605
572,159.1646,18.95,0.025536220520734787
573,166.21777,18.95,0.024201108142733574
574,173.27093,18.95,0.03218378126621246
575,180.3241,18.95,0.03236386179924011
576,187.38957,18.95,0.0400649718940258
577,194.55043,18.95,0.03725828230381012
578,201.71129,18.95,0.025797666981816292
579,208.96753,18.95,0.03940274938941002
580,216.23608,18.95,0.029199417680501938
581,223.50463,18.95,0.04747232422232628
582,230.77318,18.95,0.08862436562776566
583,238.04173,18.95,0.04433775320649147
584,245.31027,18.95,0.07161883264780045
585,252.57882,18.95,0.0847499892115593
586,259.84737,18.95,0.08202341198921204
587,267.11592,18.95,0.11622311919927597
588,274.38447,18.95,0.2579050064086914
592,303.37673,18.95,0.2752055823802948
593,310.62655,18.95,0.13862933218479156
594,317.87636,18.95,0.11425645649433136
595,325.12618,18.95,0.10945522040128708
596,332.376,18.95,0.059703681617975235
597,339.62582,18.95,0.05287651717662811
598,346.87564,18.95,0.10630521923303604
599,354.12545,18.95,0.057114169001579285
600,0.9616,26.15,0.033385831862688065
601,8.4872,26.15,0.03777022287249565
602,16.0128,26.15,0.07990653067827225
603,23.5384,26.15,0.11583474278450012
604,31.064,26.15,0.09812309592962265
605,38.5896,26.15,0.127005472779274
606,46.1152,26.15,0.20659539103507996
607,53.6408,26.15,0.15368260443210602
608,61.1664,26.15,0.1289045661687851
613,98.72857,26.15,0.20751166343688965
614,106.21029,26.15,0.0754990205168724
615,113.692,26.15,0.05981489643454552
616,121.17371,26.15,0.04208216816186905
617,128.65543,26.15,0.04521457105875015
618,136.13714,26.15,0.042697884142398834
619,143.61886,26.15,0.028458017855882645
620,151.10057,26.15,0.04027925804257393
621,158.58229,26.15,0.022472547367215157
622,166.064,26.15,0.02120966650545597
623,173.54571,26.15,0.027161510661244392
624,181.02743,26.15,0.028163205832242966
625,188.50914,26.15,0.018732674419879913
626,195.99086,26.15,0.014674348756670952
627,203.47257,26.15,0.010690131224691868
628,210.95429,26.15,0.020178023725748062
629,218.436,26.15,0.02696639485657215
630,225.91771,26.15,0.04783931002020836
631,233.39943,26.15,0.0667056068778038
632,240.88114,26.15,0.0748128741979599
633,248.36286,26.15,0.06201532855629921
634,255.84457,26.15,0.05721956118941307
635,263.32629,26.15,0.11047472059726715
636,270.808,26.15,0.1422915905714035
637,278.28971,26.15,0.13620184361934662
638,285.77143,26.15,0.25111740827560425
642,315.808,26.15,0.2327585518360138
643,323.3336,26.15,0.12545382976531982
644,330.8592,26.15,0.07754282653331757
645,338.3848,26.15,0.06196315586566925
646,345.9104,26.15,0.07559490203857422
647,353.436,26.15,0.05724040046334267
648,0.57433,33.35,0.05543963238596916
649,8.35811,33.35,0.0773058831691742
650,16.14189,33.35,0.06639521569013596
651,23.92567,33.35,0.055433791130781174
652,31.70944,33.35,0.08560455590486526
653,39.49322,33.35,0.09432660043239594
654,47.277,33.35,0.19808386266231537
656,62.84456,33.35,0.26785874366760254
661,101.93721,33.35,0.11773467808961868
662,109.7905,33.35,0.07381311058998108
663,117.64379,33.35,0.06394439190626144
664,125.49707,33.35,0.059265270829200745
665,133.35036,33.35,0.035726409405469894
666,141.20364,33.35,0.019282905384898186
667,149.05693,33.35,0.018856121227145195
668,156.91021,33.35,0.024305434897542
669,164.7635,33.35,0.022176148369908333
670,172.61679,33.35,0.023549720644950867
671,180.47007,33.35,0.02587147429585457
672,188.32336,33.35,0.020951056852936745
673,196.17664,33.35,0.016373595222830772
674,204.02993,33.35,0.016008995473384857
675,211.88321,33.35,0.02211339958012104
676,219.7365,33.35,0.018334779888391495
677,227.58979,33.35,0.019660843536257744
678,235.44307,33.35,0.038189224898815155
679,243.29636,33.35,0.021941140294075012
680,251.14964,33.35,0.034589968621730804
681,259.00293,33.35,0.05239840969443321
682,266.85621,33.35,0.055156409740448
683,274.7095,33.35,0.08303634077310562
684,282.56279,33.35,0.0920555368065834
685,290.41607,33.35,0.2860657572746277
688,313.87167,33.35,0.2844439446926117
689,321.65544,33.35,0.19942735135555267
690,329.43922,33.35,0.15347233414649963
691,337.223,33.35,0.10889702290296555
692,345.00678,33.35,0.11123043298721313
693,352.79056,33.35,0.0910983458161354
694,3.4686,40.55,0.08154745399951935
695,11.9,40.4,0.06939540058374405
696,20.38973,40.55,0.060373663902282715
697,28.87947,40.55,0.05694982409477234
698,37.42753,40.55,0.05465739220380783
699,45.9756,40.55,0.13852286338806152
700,54.52367,40.55,0.17895063757896423
702,71.6198,40.55,0.29618650674819946
704,88.84822,40.55,0.2605164647102356
705,97.46504,40.55,0.19910277426242828
706,106.08185,40.55,0.08207672834396362
707,114.69867,40.55,0.06319692730903625
708,123.31548,40.55,0.057698700577020645
709,131.9323,40.55,0.03233272582292557
710,140.54911,40.55,0.022158022969961166
711,149.16593,40.55,0.015325264073908329
712,157.78274,40.55,0.015713883563876152
713,166.39956,40.55,0.015921575948596
714,175.01637,40.55,0.021775782108306885
715,183.63319,40.55,0.027814537286758423
716,192.25,40.55,0.021537281572818756
717,200.86681,40.55,0.017073335126042366
718,209.48363,40.55,0.016669854521751404
719,218.10044,40.55,0.02051733247935772
720,226.71726,40.55,0.020480437204241753
721,235.33407,40.55,0.03744381293654442
722,243.95089,40.55,0.011358941905200481
723,252.5677,40.55,0.020312713459134102
724,261.18452,40.55,0.04576161131262779
725,269.80133,40.55,0.05112024396657944
726,278.41815,40.55,0.07701703161001205
727,287.03496,40.55,0.19529883563518524
732,329.743,40.55,0.24268025159835815
733,338.1744,40.55,0.17162583768367767
734,346.6058,40.55,0.1360040307044983
735,355.0372,40.55,0.11451217532157898
736,2.21291,47.75,0.14324933290481567
737,12.25,47.75,0.1630544811487198
738,22.28709,47.75,0.1475500613451004
739,32.32418,47.75,0.1742505431175232
740,42.36127,47.75,0.1604396551847458
744,81.85354,47.75,0.26117855310440063
745,91.27823,47.75,0.16902080178260803
746,100.70292,47.75,0.10609553009271622
747,110.12762,47.75,0.08285968005657196
748,119.55231,47.75,0.04872015118598938
749,128.977,47.75,0.031783487647771835
750,138.40169,47.75,0.02348122000694275
751,147.82638,47.75,0.011501510627567768
752,157.25108,47.75,0.0116383396089077
753,166.67577,47.75,0.03239353373646736
754,176.10046,47.75,0.03021608479321003
755,185.52515,47.75,0.018888523802161217
756,194.94985,47.75,0.015568357892334461
757,204.72454,47.75,0.03713168948888779
758,214.49923,47.75,0.02275705710053444
759,224.27392,47.75,0.038566794246435165
760,234.04862,47.75,0.022204779088497162
761,243.82331,47.75,0.01543810497969389
762,253.598,47.75,0.033475879579782486
763,263.37269,47.75,0.04623823240399361
764,273.14738,47.75,0.03679812327027321
765,282.92208,47.75,0.09772937744855881
766,292.69677,47.75,0.15824592113494873
771,342.13873,47.75,0.17284953594207764
772,352.17582,47.75,0.17076347768306732
775,28.13537,54.95,0.25539931654930115
781,92.97719,54.95,0.13617627322673798
782,103.90195,54.95,0.05701097473502159
783,114.82671,54.95,0.05439623445272446
784,125.75146,54.95,0.0685926303267479
785,136.67622,54.95,0.022913383319973946
786,147.60097,54.95,0.014643426984548569
787,158.52573,54.95,0.01244028378278017
788,169.45049,54.95,0.015749739482998848
789,180.37888,54.95,0.017395341768860817
790,191.39,54.95,0.0241545420140028
791,202.40112,54.95,0.01980748027563095
792,213.41224,54.95,0.03159747272729874
793,224.50609,54.95,0.02088167332112789
794,235.60357,54.95,0.021501261740922928
795,246.70105,54.95,0.011171386577188969
796,257.79854,54.95,0.02411583811044693
797,268.89602,54.95,0.04867369309067726
798,279.99351,54.95,0.04764290526509285
799,291.09099,54.95,0.12939326465129852
811,73.33333,62.15,0.21868954598903656
812,86.66667,62.15,0.12659497559070587
813,100.0,62.15,0.114979088306427
814,113.33333,62.15,0.056845229119062424
815,126.66667,62.15,0.056372448801994324
816,140.0,62.15,0.04148397594690323
817,153.33333,62.15,0.02010384574532509
818,166.66667,62.15,0.011013953015208244
819,180.0,62.15,0.023158855736255646
820,193.33333,62.15,0.019905220717191696
821,206.66667,62.15,0.021294785663485527
822,220.0,62.15,0.018955234438180923
823,233.33333,62.15,0.026274781674146652
824,246.66667,62.15,0.04047706350684166
825,260.0,62.15,0.03354920446872711
826,273.33333,62.15,0.05610877275466919
827,286.66667,62.15,0.09196724742650986
828,300.0,62.15,0.10590667277574539
837,77.14286,69.35,0.1295672208070755
838,94.28571,69.35,0.11009383946657181
839,111.42857,69.35,0.04519310221076012
840,128.57143,69.35,0.04327984154224396
841,145.71429,69.42,0.07730015367269516
842,162.85714,69.35,0.021866077557206154
843,180.0,69.35,0.02238881029188633
844,197.14286,69.35,0.018449878320097923
845,214.28571,69.35,0.021345457062125206
846,231.42857,69.35,0.03309118375182152
847,248.57143,69.35,0.051482442766427994
848,265.71429,69.35,0.04553312435746193
849,282.85714,69.35,0.06176497042179108
850,300.0,69.35,0.18919366598129272
854,12.0,76.55,0.2786409556865692
856,60.0,76.55,0.12437986582517624
